	strain	tissue	cluster	lev1	lev2	1700009P17Rik	Fam216b	Ccdc153	Tmem212	1500015O10Rik	Cldn10	Gjb6	Apoe	Aqp4	Agt	Acsbg1	Gal3st4	Gfap	Cml5	Gja1	Slc7a10	Fgfr3	F3	Gli1	Cyp4f14	Cyp4f15	Cxcl10	Gpr37l1	Slc4a4	Atp1a2	Tril	Mmp14	5930412G12Rik	Sfrp5	Dcn	Gm7104	1700047M11Rik	Il1rap	Evi2a-evi2b	Tmod1	Ptgds	Cdk1	Cdca3	Ube2c	Spc25	Pbk	Top2a	Rhog	Ttyh2	Tnfaip6	Hcn2	Pex5l	Chdh	D7Ertd443e	Dqx1	Pla2g2d	Lpar1	Gpr17	Bcas1	9630013A20Rik	Tmem141	Rnf122	Ctps	Bmp4	Dct	Il23a	Lect1	Gng11	S100a16	Ppp1r14a	S100a6	Serpinb1a	Hist1h3d	2810459M11Rik	Mn1	Zfp607	Ddo	S100b	Sep-08	Anln	Hapln2	Pmp22	Plin3	Tdrd6	Ctnna3	Pax3	Syne3	9130023H24Rik	Mob3b	Rab37	Anxa5	Klk6	Cdkn1c	Clrn1	Nkx2-9	Dmrta1	Esam	Ly6c1	Itm2a	Cldn5	Slco1a4	Icam2	Myct1	AW112010	AU021092	C1qa	Csf1r	Laptm5	C1qb	Cx3cr1	Ly86	Pld4	Hpgds	Ccr5	Ctss	Trem2	Bcl2a1b	Ccl3	Ccl4	Ccl12	Il1a	AF251705	Tyrobp	Fcrls	H2-Eb1	Cd74	H2-Aa	Cd52	H2-Ab1	Zcchc12	Cpne8	Grp	Col11a1	Sst	A330069E16Rik	Pkd1l2	Pkd2l1	Lrrc23	Glp2r	Aldh1a2	Cacna2d1	Tac2	Cacna1h	Pthlh	Nmur2	Crhbp	Nts	Cck	Cbln1	Ucn3	Trh	Rab25	Mia	Nmu	Agtr1a	Smoc2	Lrrc38	Calb2	Pcp4	Lmo3	Gpr101	Tac1	D630023F18Rik	Cbln4	Nrn1	Nell2	Fam19a1	Slc17a6	Grpr	Fbxl22	Gda	Nms	Kcna2	Cplx1	Kcnc1	Vamp1	Scn1a	Gabra1	Slc30a3	Tfap2b	Sh3bgr	Dlk1	Pla2g5	Cldn1	Gad2	Cplx2	Sall3	Gad1	Rxfp2	F930015N05Rik	Krt25	Htr3a	Ppef1	Serpinb1b	Sez6	Cd24a	1500016L03Rik	Npy	Chrm3	Ecel1	Nrl	Tyr	Krt17	Sstr2	Sstr1	Lgals9	Pnoc	Gal	Abi3bp	Pdyn	Lta	Cst12	Pvalb	Spp1	Sema3e	Crabp1	CK137956	Tnfsf8
1772122245_F07	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	3	0	2	0	0	0	0	0	0	0	1	6	6	27	0	0	0	0	0	32	0	11	1	1	1	0	0	0	0	0	0	3	3	8	0	1	0	0	0	6	0	49	0	0
1772122247_D12	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	5	0	2	1	0	0	1	0	0	0	0	0	2	8	20	0	0	0	1	0	49	0	8	0	14	4	0	0	0	1	0	0	2	1	0	0	0	0	0	1	15	4	90	0	0
1772117159_D12	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	0	0	0	0	0	0	2	3	3	4	2	0	0	0	0	0	0	1	9	2	3	2	0	0	0	0	5	5	6	2	1	0	0	0	0	0	0	5	7	3	0	6	0	0	0	0	0	15	0	8	2	11	3	0	0	0	0	0	0	1	3	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	5	24	0	0	0	2	0	16	2	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	16	2	47	0	0
1772123034_E02	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	4	0	0	0	0	0	0	0	4	2	2	19	0	0	0	0	0	18	1	2	0	14	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	11	1	0
1772123026_G12	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	2	2	2	0	0	0	0	0	0	0	2	6	3	18	0	0	0	0	0	25	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	0	91	0	0
1772099108_G08	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	1	5	1	17	0	0	0	0	0	6	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	33	0	0
1772123026_F03	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	5	0	0	0	0	0	0	0	1	1	1	16	0	0	0	0	0	6	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	7	1	6
1772123032_C05	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	3	1	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0	1	0	1	0	0	0	0	0	3	6	2	9	0	0	0	0	0	12	0	11	0	1	1	0	0	0	0	0	0	8	5	12	0	0	0	0	0	16	2	25	0	0
1772099014_G05	C57bl6	dorsal horn	7	neuron		0	0	0	0	0	0	2	9	8	3	0	0	1	0	7	2	0	1	0	0	0	0	1	2	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	14	0	0
1772123032_B12	vGat-Cre-tdTomato	dorsal horn	7	neuron		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	0	26	0	0	0	1	0	6	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	16	1	3
