	strain	tissue	cluster	lev1	lev2	1700009P17Rik	Fam216b	Ccdc153	Tmem212	1500015O10Rik	Cldn10	Gjb6	Apoe	Aqp4	Agt	Acsbg1	Gal3st4	Gfap	Cml5	Gja1	Slc7a10	Fgfr3	F3	Gli1	Cyp4f14	Cyp4f15	Cxcl10	Gpr37l1	Slc4a4	Atp1a2	Tril	Mmp14	5930412G12Rik	Sfrp5	Dcn	Gm7104	1700047M11Rik	Il1rap	Evi2a-evi2b	Tmod1	Ptgds	Cdk1	Cdca3	Ube2c	Spc25	Pbk	Top2a	Rhog	Ttyh2	Tnfaip6	Hcn2	Pex5l	Chdh	D7Ertd443e	Dqx1	Pla2g2d	Lpar1	Gpr17	Bcas1	9630013A20Rik	Tmem141	Rnf122	Ctps	Bmp4	Dct	Il23a	Lect1	Gng11	S100a16	Ppp1r14a	S100a6	Serpinb1a	Hist1h3d	2810459M11Rik	Mn1	Zfp607	Ddo	S100b	Sep-08	Anln	Hapln2	Pmp22	Plin3	Tdrd6	Ctnna3	Pax3	Syne3	9130023H24Rik	Mob3b	Rab37	Anxa5	Klk6	Cdkn1c	Clrn1	Nkx2-9	Dmrta1	Esam	Ly6c1	Itm2a	Cldn5	Slco1a4	Icam2	Myct1	AW112010	AU021092	C1qa	Csf1r	Laptm5	C1qb	Cx3cr1	Ly86	Pld4	Hpgds	Ccr5	Ctss	Trem2	Bcl2a1b	Ccl3	Ccl4	Ccl12	Il1a	AF251705	Tyrobp	Fcrls	H2-Eb1	Cd74	H2-Aa	Cd52	H2-Ab1	Zcchc12	Cpne8	Grp	Col11a1	Sst	A330069E16Rik	Pkd1l2	Pkd2l1	Lrrc23	Glp2r	Aldh1a2	Cacna2d1	Tac2	Cacna1h	Pthlh	Nmur2	Crhbp	Nts	Cck	Cbln1	Ucn3	Trh	Rab25	Mia	Nmu	Agtr1a	Smoc2	Lrrc38	Calb2	Pcp4	Lmo3	Gpr101	Tac1	D630023F18Rik	Cbln4	Nrn1	Nell2	Fam19a1	Slc17a6	Grpr	Fbxl22	Gda	Nms	Kcna2	Cplx1	Kcnc1	Vamp1	Scn1a	Gabra1	Slc30a3	Tfap2b	Sh3bgr	Dlk1	Pla2g5	Cldn1	Gad2	Cplx2	Sall3	Gad1	Rxfp2	F930015N05Rik	Krt25	Htr3a	Ppef1	Serpinb1b	Sez6	Cd24a	1500016L03Rik	Npy	Chrm3	Ecel1	Nrl	Tyr	Krt17	Sstr2	Sstr1	Lgals9	Pnoc	Gal	Abi3bp	Pdyn	Lta	Cst12	Pvalb	Spp1	Sema3e	Crabp1	CK137956	Tnfsf8
1772117160_G07	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	5	0	9	6	9	4	0	0	0	12	3	1	2	0	0	0	0	4	2	33	7	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	6	0	0	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	14	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	2	2	0	8	0	0	0	0	0	20	1	3	6	11	10	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0
1772123026_B01	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	3	4	8	0	0	0	0	0	51	6	10	4	17	6	0	0	0	5	2	0	4	2	0	0	0	0	0	0	0	0	0	0	0
1772072243_D11	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	2	3	5	1	0	0	0	0	0	0	5	2	1	0	3	0	0	0	0	3	2	5	0	3	6	7	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	33	0	0	0	0	0	0	0	0	0	0	1	2	4	0	1	1	0	0	0	0	0	0	10	4	2	6	0	0	0	0	1	26	0	7	2	5	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
1772123032_H02	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	3	2	2	5	0	0	0	0	0	26	1	3	1	10	3	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0
1772099304_E05	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	2	4	9	0	0	0	0	0	28	4	3	1	8	12	0	1	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0
1772123032_A03	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	1	0	0	0	0	0	0	0	0	4	2	0	1	1	0	0	0	0	0	0	0	4	3	6	6	0	0	1	0	0	16	2	3	7	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1772099092_C06	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	3	2	7	0	0	0	0	0	0	0	0	1	5	0	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	2	1	2	0	0	0	0	0	52	5	8	14	9	4	0	0	0	0	0	17	5	12	23	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	34	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	8	2	1	11	0	0	0	0	0	29	1	3	1	7	10	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
1772099110_C11	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	9	1	0	35	0	0	0	0	0	0	1	12	8	0	0	0	0	0	0	0	0	0	2	43	0	0	0	45	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	2	0	6	0	0	0	0	0	46	2	4	1	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
1772123026_C09	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3	3	9	0	0	0	0	0	31	2	4	1	12	3	0	0	0	0	0	0	8	2	23	0	0	0	0	0	0	0	0	0	0
1772123026_E04	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	19	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	3	5	5	0	0	0	0	0	35	1	5	1	10	6	1	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
1772099114_G01	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	2	0	0	18	0	0	0	0	0	0	0	0	0	0	1	6	4	1	1	0	0	0	0	0	0	0	3	4	0	10	0	0	0	0	0	24	3	2	2	14	3	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
1772123032_A04	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	1	0	0	0	0	5	8	3	5	0	0	0	0	0	14	0	1	3	13	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
1772072243_F10	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	2	1	3	1	0	0	1	0	0	0	2	3	0	0	0	0	1	0	0	1	1	4	1	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	2	3	7	0	0	0	0	0	20	6	1	1	4	5	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
1772117158_F02	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	11	8	0	0	0	0	0	0	0	0	3	2	3	6	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	8	7	3	1	3	0	0	0	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	3	3	0	0	0	0	0	4	2	1	2	3	4	0	1	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0
1772123032_H09	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	41	0	0	0	0	0	0	0	0	0	0	3	1	3	0	1	0	0	0	0	0	0	0	1	4	3	5	0	0	0	0	0	28	3	3	0	2	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0
1772123034_E07	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	5	6	2	6	0	0	0	0	0	21	1	6	3	9	3	0	0	0	1	1	1	8	6	17	0	0	0	0	0	0	0	0	0	0
1772123026_F08	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12	0	0	0	1	0	0	0	0	0	0	4	1	1	1	0	0	0	0	0	0	0	0	3	4	2	2	0	0	0	0	0	12	2	3	0	3	3	0	0	0	0	0	0	1	1	7	2	0	0	0	0	0	0	0	0	0
1772123026_E01	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	3	2	4	1	0	0	0	0	0	0	0	2	9	3	1	0	0	0	0	0	41	2	1	6	6	3	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
1772122248_B12	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	17	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	3	0	3	3	0	0	0	0	0	35	0	2	2	9	2	0	0	0	0	0	0	6	3	17	0	0	0	0	1	0	0	0	0	0
1772117124_A07	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20	0	0	0	0	0	0	3	0	2	1	30	0	0	0	0	0	0	3	2	1	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	6	7	6	5	0	0	0	0	0	20	5	4	2	4	4	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
1772099116_E12	C57bl6	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	0	9	1	0	4	3	9	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
1772123032_E08	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	23	0	0	0	0	0	0	0	0	0	0	2	5	3	2	1	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	27	2	9	3	6	1	0	0	0	0	2	3	0	1	6	1	2	0	0	0	0	0	1	0	0
1772123024_D04	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	4	2	4	1	0	0	0	0	17	4	3	4	7	5	0	0	0	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0
1772123026_B04	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	44	6	4	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	0	2	0	3	3	1	0	0	0	0	0	0	0	0	2	2	7	0	0	0	0	0	18	3	7	2	9	1	0	0	1	2	1	0	8	2	0	0	0	0	0	0	0	0	0	0	0
1772123034_B04	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1	27	3	7	1	7	1	0	0	0	0	0	0	1	0	14	0	0	0	1	0	0	0	0	0	0
1772123032_E05	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	0	3	30	0	0	0	0	0	0	0	0	0	0	1	0	0	4	4	2	3	0	0	0	0	0	3	0	1	11	3	0	0	0	0	26	0	2	3	4	6	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
1772122245_F01	vGat-Cre-tdTomato	dorsal horn	5	neuron		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	59	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	2	1	0	0	0	0	0	6	0	4	18	0	0	0	0	0	20	0	8	1	8	1	0	0	2	0	2	0	3	11	12	2	2	0	0	0	0	0	1	0	0
